"The only way out, is through.",~ unknown,0,https://firebasestorage.googleapis.com/v0/b/neep-new.appspot.com/o/quotes_images%2Funknown1.png?alt=media&token=26364f71-d524-4140-8509-3b358e44481a,1
Risking your life and doing something that could easily rob you of your life are exact opposites.,L (Death Note),0,https://firebasestorage.googleapis.com/v0/b/neep-new.appspot.com/o/quotes_images%2Fl1.png?alt=media&token=8f888337-cb98-4bed-83cf-31ab905f1824,2
"To see things in the seed, that is genius.
",Lao Tzu,0,https://res.cloudinary.com/dhupov40f/image/upload/v1675714990/image_1_lifok1.png,3
"Somebody told me I’m a failure, I’ll prove them wrong.",Naruto Uzumaki,0,https://res.cloudinary.com/dhupov40f/image/upload/v1675539343/image_3_1.01.24_AM_mq8zof.png,4
An addict who overcomes addiction is capable of accomplishing anything.,~ unknown,0,https://firebasestorage.googleapis.com/v0/b/neep-new.appspot.com/o/quotes_images%2Funknown3.png?alt=media&token=26429d0e-a64c-4128-9f9b-0d794ca724bf,5
"Excessive attachment to sense pleasures leads to bondage, and detachment from sense pleasures leads to liberation. Therefore it is the mind alone that is responsible for bondage or liberation.",Chanakya,0,https://res.cloudinary.com/dhupov40f/image/upload/v1675530318/image_2_v6d3pm.png,6
"The things you own, end up owning you.",Tyler Durden,0,https://res.cloudinary.com/dhupov40f/image/upload/v1675532564/image_4_d0ioic.png,7
You need to accept the fact that you’re not the best and have all the will to strive to be better than anyone you face.,Roronoa Zoro (One Piece),0,https://firebasestorage.googleapis.com/v0/b/neep-new.appspot.com/o/quotes_images%2Fquotes_aot_levi.png?alt=media&token=e767cec6-90f3-404e-8d7f-c7ce579224a5,8
"The foundation of every state is the education of its youth.
",Diogenes,0,https://res.cloudinary.com/dhupov40f/image/upload/v1675714337/image_1_t9eobo.png,9
"If you don’t like your destiny, don’t accept it.",Naruto Uzumaki,1,https://res.cloudinary.com/dhupov40f/image/upload/v1675539343/image_2_1.01.24_AM_aqamp2.png,1
"If I quit now, I will soon be back to where I started. And when I started, I was desperately wishing to be where I am now.",~ unknown,1,https://firebasestorage.googleapis.com/v0/b/neep-new.appspot.com/o/quotes_images%2Funknown4.png?alt=media&token=d8f176bb-fc77-4064-80ff-bf4df98657c4,2
"You can’t ever win if you’re always on the defensive. To win, you have to attack!",Light Yagami,1,https://res.cloudinary.com/dhupov40f/image/upload/v1675533175/light3_1_bm2k7t.jpg,3
"The more we value things outside our control, the less control we have.
",Marcus Aurelius ,1,https://res.cloudinary.com/dhupov40f/image/upload/v1675613789/image_2_doybbv.png,4
Use your head instead of what you have between your legs. Self-control is what separates a man from a boy.,~ unknown,1,https://firebasestorage.googleapis.com/v0/b/neep-new.appspot.com/o/quotes_images%2Funknown3.png?alt=media&token=26429d0e-a64c-4128-9f9b-0d794ca724bf,5
"As soon as the fear approaches near, attack and destroy it.",Chanakya,1,https://res.cloudinary.com/dhupov40f/image/upload/v1675530319/image_es9sjn.png,6
If you really want to be strong… Stop caring about what your surrounding thinks of you!,Saitama (One Punch Man),1,https://firebasestorage.googleapis.com/v0/b/neep-new.appspot.com/o/quotes_images%2Fimage%20(1).png?alt=media&token=9baf5209-6b95-4dfd-8124-2676632a8bcc,7
"You only live once, but if you do it right, once is enough",Mae West,1,https://firebasestorage.googleapis.com/v0/b/neep-new.appspot.com/o/quotes_images%2Fquotes_aot_levi.png?alt=media&token=e767cec6-90f3-404e-8d7f-c7ce579224a5,8
